rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates
2020-01-31,2020-01-31,2020-02-03,"['REGN', 'ODFL', 'ISRG', 'AAPL', 'QCOM', 'INTC', 'SBUX', 'MDLZ', 'GOOGL', 'PAYX']",10,0,10,1.0,0.001,False
2020-02-20,2020-02-20,2020-02-21,"['MDLZ', 'EBAY', 'AAPL', 'GILD', 'AMZN', 'FAST', 'AMGN', 'AVGO', 'MNST', 'GOOGL']",10,7,7,1.4,0.0014,False
2020-03-05,2020-03-05,2020-03-06,"['PANW', 'NVDA', 'AMD', 'CDNS', 'GOOGL', 'AMZN', 'ODFL', 'AAPL', 'INTC', 'MNST']",10,6,6,1.2,0.0012,False
2020-03-19,2020-03-19,2020-03-20,"['PANW', 'SNPS', 'QCOM', 'MU', 'CRM', 'AMAT', 'LRCX', 'PAYX', 'MDLZ', 'AVGO']",10,9,9,1.8,0.0018000000000000002,False
2020-04-02,2020-04-02,2020-04-03,"['PEP', 'AMAT', 'QCOM', 'FAST', 'SBUX', 'PAYX', 'CRM', 'AAPL', 'INTC', 'AMD']",10,6,6,1.2,0.0012,False
2020-04-17,2020-04-17,2020-04-20,"['ODFL', 'PEP', 'AVGO', 'INTC', 'CRM', 'PANW', 'MDLZ', 'MNST', 'MU', 'QCOM']",10,6,6,1.2,0.0012,False
2020-05-01,2020-05-01,2020-05-04,"['NVDA', 'ORCL', 'AMD', 'EBAY', 'AMZN', 'MNST', 'REGN', 'ODFL', 'MSFT', 'NFLX']",10,8,8,1.6,0.0016,False
2020-05-15,2020-05-15,2020-05-18,"['GILD', 'ODFL', 'MDLZ', 'AVGO', 'MSFT', 'GOOGL', 'MNST', 'AMZN', 'AMGN', 'ORCL']",10,5,5,1.0,0.001,False
2020-06-01,2020-06-01,2020-06-02,"['AMZN', 'NFLX', 'ORCL', 'CDNS', 'MSFT', 'INTC', 'AMGN', 'MDLZ', 'AVGO', 'AAPL']",10,4,4,0.8,0.0008,False
2020-06-15,2020-06-15,2020-06-16,"['AVGO', 'PAYX', 'SBUX', 'CDNS', 'PANW', 'MDLZ', 'EBAY', 'ISRG', 'ODFL', 'MSFT']",10,6,6,1.2,0.0012,False
2020-06-29,2020-06-29,2020-06-30,"['AVGO', 'QCOM', 'MSFT', 'GOOGL', 'AAPL', 'SBUX', 'ORCL', 'SNPS', 'EBAY', 'CRM']",10,6,6,1.2,0.0012,False
2020-07-27,2020-07-27,2020-07-28,"['GOOGL', 'PANW', 'EBAY', 'AAPL', 'META', 'NVDA', 'CRM', 'MNST', 'MSFT', 'INTC']",10,5,5,1.0,0.001,False
2020-09-10,2020-09-10,2020-09-11,"['TSLA', 'NVDA', 'PANW', 'LRCX', 'GOOGL', 'SNPS', 'MSFT', 'AMZN', 'CDNS', 'NFLX']",10,6,6,1.2,0.0012,False
2020-09-24,2020-09-24,2020-09-25,"['ISRG', 'FAST', 'AMD', 'ODFL', 'MNST', 'GOOGL', 'AVGO', 'MDLZ', 'GILD', 'AMZN']",10,8,8,1.6,0.0016,False
2020-10-08,2020-10-08,2020-10-09,"['MDLZ', 'FAST', 'MNST', 'QCOM', 'AAPL', 'LRCX', 'ISRG', 'ORCL', 'PEP', 'AMD']",10,5,5,1.0,0.001,False
2020-10-22,2020-10-22,2020-10-23,"['TSLA', 'AAPL', 'NVDA', 'VRTX', 'AMD', 'CRM', 'AMZN', 'PEP', 'MDLZ', 'FAST']",10,5,5,1.0,0.001,False
2020-11-05,2020-11-05,2020-11-06,"['INTC', 'ORCL', 'CRM', 'TSLA', 'GOOGL', 'MU', 'AVGO', 'AAPL', 'MSFT', 'SBUX']",10,7,7,1.4,0.0014,False
2020-11-19,2020-11-19,2020-11-20,"['INTC', 'NFLX', 'NVDA', 'ORCL', 'AVGO', 'AMZN', 'COST', 'SBUX', 'MSFT', 'CDNS']",10,5,5,1.0,0.001,False
2020-12-04,2020-12-04,2020-12-07,"['ORCL', 'PANW', 'COST', 'SBUX', 'GILD', 'INTC', 'AVGO', 'AMZN', 'PAYX', 'AAPL']",10,4,4,0.8,0.0008,False
2020-12-18,2020-12-18,2020-12-21,"['SBUX', 'NFLX', 'NVDA', 'AMZN', 'LRCX', 'AAPL', 'META', 'QCOM', 'ISRG', 'PAYX']",10,6,6,1.2,0.0012,False
2021-01-20,2021-01-20,2021-01-21,"['NVDA', 'PANW', 'CDNS', 'PAYX', 'MNST', 'AAPL', 'AMD', 'ORCL', 'AVGO', 'GOOGL']",10,7,7,1.4,0.0014,False
2021-02-03,2021-02-03,2021-02-04,"['LRCX', 'NVDA', 'ODFL', 'MNST', 'FAST', 'NFLX', 'INTC', 'AVGO', 'AMAT', 'ISRG']",10,7,7,1.4,0.0014,False
2021-02-18,2021-02-18,2021-02-19,"['VRTX', 'NFLX', 'TSLA', 'FAST', 'AMZN', 'GOOGL', 'AAPL', 'ORCL', 'PEP', 'EBAY']",10,8,8,1.6,0.0016,False
2021-03-04,2021-03-04,2021-03-05,"['INTC', 'GILD', 'EBAY', 'PANW', 'GOOGL', 'NFLX', 'TSLA', 'FAST', 'CRM', 'SBUX']",10,5,5,1.0,0.001,False
2021-03-18,2021-03-18,2021-03-19,"['PANW', 'NFLX', 'ORCL', 'NVDA', 'FAST', 'MNST', 'AVGO', 'GOOGL', 'CRM', 'AAPL']",10,5,5,1.0,0.001,False
2021-04-01,2021-04-01,2021-04-05,"['NFLX', 'INTC', 'AAPL', 'NVDA', 'GOOGL', 'FAST', 'GILD', 'EBAY', 'ODFL', 'MNST']",10,4,4,0.8,0.0008,False
2021-04-16,2021-04-16,2021-04-19,"['NFLX', 'INTC', 'AMAT', 'MU', 'LRCX', 'MDLZ', 'PAYX', 'GOOGL', 'META', 'PANW']",10,7,7,1.4,0.0014,False
2021-04-30,2021-04-30,2021-05-03,"['INTC', 'ORCL', 'NVDA', 'NFLX', 'LRCX', 'AVGO', 'PAYX', 'SNPS', 'MU', 'ODFL']",10,5,5,1.0,0.001,False
2021-05-14,2021-05-14,2021-05-17,"['NFLX', 'INTC', 'ORCL', 'FAST', 'AAPL', 'AVGO', 'MDLZ', 'MU', 'PEP', 'AMAT']",10,5,5,1.0,0.001,False
2021-05-28,2021-05-28,2021-06-01,"['GILD', 'TSLA', 'ORCL', 'AAPL', 'FAST', 'AMGN', 'MSFT', 'AMZN', 'NFLX', 'LRCX']",10,6,6,1.2,0.0012,False
2021-06-14,2021-06-14,2021-06-15,"['TSLA', 'MU', 'MDLZ', 'LRCX', 'AMAT', 'ORCL', 'PEP', 'ODFL', 'NVDA', 'MSFT']",10,6,6,1.2,0.0012,False
2021-06-28,2021-06-28,2021-06-29,"['ORCL', 'VRTX', 'LRCX', 'QCOM', 'MDLZ', 'NVDA', 'AMD', 'PEP', 'AAPL', 'GILD']",10,5,5,1.0,0.001,False
2021-07-13,2021-07-13,2021-07-14,"['NVDA', 'LRCX', 'MU', 'QCOM', 'AMAT', 'GOOGL', 'MDLZ', 'VRTX', 'GILD', 'AMZN']",10,4,4,0.8,0.0008,False
2021-07-27,2021-07-27,2021-07-28,"['NVDA', 'MU', 'QCOM', 'GILD', 'ORCL', 'PEP', 'LRCX', 'AMZN', 'AMGN', 'MDLZ']",10,3,3,0.6,0.0006,False
2021-08-10,2021-08-10,2021-08-11,"['AMZN', 'MDLZ', 'EBAY', 'NVDA', 'INTC', 'PEP', 'LRCX', 'AMGN', 'GILD', 'AMAT']",10,3,3,0.6,0.0006,False
2021-09-14,2021-09-14,2021-09-15,"['AMD', 'AAPL', 'QCOM', 'GOOGL', 'AMZN', 'INTC', 'EBAY', 'NVDA', 'SBUX', 'MDLZ']",10,5,5,1.0,0.001,False
2021-09-28,2021-09-28,2021-09-29,"['AMD', 'AAPL', 'GOOGL', 'FAST', 'AMGN', 'QCOM', 'VRTX', 'AMZN', 'ORCL', 'GILD']",10,5,5,1.0,0.001,False
2021-10-12,2021-10-12,2021-10-13,"['LRCX', 'AMAT', 'REGN', 'AMD', 'NVDA', 'AMZN', 'SNPS', 'CDNS', 'CRM', 'MNST']",10,8,8,1.6,0.0016,False
2021-10-26,2021-10-26,2021-10-27,"['PANW', 'INTC', 'AAPL', 'AMZN', 'SNPS', 'GILD', 'PAYX', 'MNST', 'MSFT', 'NVDA']",10,6,6,1.2,0.0012,False
2021-11-09,2021-11-09,2021-11-10,"['INTC', 'GILD', 'NFLX', 'PANW', 'AAPL', 'GOOGL', 'FAST', 'MSFT', 'MNST', 'MU']",10,4,4,0.8,0.0008,False
2021-11-23,2021-11-23,2021-11-24,"['GOOGL', 'MNST', 'NFLX', 'INTC', 'GILD', 'SBUX', 'PEP', 'MSFT', 'MDLZ', 'CRM']",10,4,4,0.8,0.0008,False
2021-12-08,2021-12-08,2021-12-09,"['CRM', 'NFLX', 'EBAY', 'PAYX', 'LRCX', 'ORCL', 'MSFT', 'FAST', 'AMZN', 'GILD']",10,6,6,1.2,0.0012,False
2021-12-22,2021-12-22,2021-12-23,"['FAST', 'ORCL', 'EBAY', 'NFLX', 'MNST', 'INTC', 'NVDA', 'CRM', 'SBUX', 'PEP']",10,5,5,1.0,0.001,False
2022-01-21,2022-01-21,2022-01-24,"['NVDA', 'CRM', 'CDNS', 'QCOM', 'SBUX', 'AVGO', 'FAST', 'PAYX', 'MNST', 'ORCL']",10,4,4,0.8,0.0008,False
2022-02-04,2022-02-04,2022-02-07,"['FAST', 'GILD', 'SBUX', 'INTC', 'MNST', 'CDNS', 'ORCL', 'PEP', 'PANW', 'LRCX']",10,5,5,1.0,0.001,False
2022-02-18,2022-02-18,2022-02-22,"['AMGN', 'VRTX', 'GILD', 'FAST', 'AAPL', 'AVGO', 'MDLZ', 'NFLX', 'ORCL', 'PAYX']",10,7,7,1.4,0.0014,False
2022-03-07,2022-03-07,2022-03-08,"['META', 'NFLX', 'AMZN', 'INTC', 'ORCL', 'MDLZ', 'NVDA', 'AVGO', 'AMGN', 'MNST']",10,5,5,1.0,0.001,False
2022-03-21,2022-03-21,2022-03-22,"['META', 'INTC', 'MNST', 'PEP', 'MDLZ', 'AMGN', 'PAYX', 'GILD', 'GOOGL', 'MSFT']",10,5,5,1.0,0.001,False
2022-04-04,2022-04-04,2022-04-05,"['MDLZ', 'LRCX', 'GOOGL', 'PEP', 'MNST', 'GILD', 'NFLX', 'INTC', 'META', 'AMZN']",10,3,3,0.6,0.0006,False
2022-04-19,2022-04-19,2022-04-20,"['GOOGL', 'MSFT', 'AAPL', 'NVDA', 'SBUX', 'NFLX', 'AVGO', 'AMD', 'INTC', 'EBAY']",10,7,7,1.4,0.0014,False
2022-05-03,2022-05-03,2022-05-04,"['NFLX', 'PAYX', 'PANW', 'INTC', 'NVDA', 'FAST', 'AMD', 'MU', 'AMAT', 'GOOGL']",10,5,5,1.0,0.001,False
2022-05-17,2022-05-17,2022-05-18,"['ISRG', 'AMZN', 'AAPL', 'CRM', 'EBAY', 'INTC', 'GOOGL', 'MSFT', 'SBUX', 'PANW']",10,7,7,1.4,0.0014,False
2022-06-01,2022-06-01,2022-06-02,"['NFLX', 'MDLZ', 'AMZN', 'FAST', 'AAPL', 'PEP', 'PAYX', 'NVDA', 'ISRG', 'MNST']",10,7,7,1.4,0.0014,False
2022-06-15,2022-06-15,2022-06-16,"['NFLX', 'EBAY', 'NVDA', 'AAPL', 'INTC', 'AMZN', 'LRCX', 'PAYX', 'SBUX', 'CDNS']",10,5,5,1.0,0.001,False
2022-06-30,2022-06-30,2022-07-01,"['GILD', 'INTC', 'MNST', 'AVGO', 'EBAY', 'NFLX', 'LRCX', 'FAST', 'META', 'AAPL']",10,5,5,1.0,0.001,False
2022-07-15,2022-07-15,2022-07-18,"['NVDA', 'AMD', 'LRCX', 'FAST', 'GILD', 'AMAT', 'MSFT', 'ODFL', 'CDNS', 'SBUX']",10,7,7,1.4,0.0014,False
