rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates
2020-01-31,2020-01-31,2020-02-03,"['GOOGL', 'COST', 'PAYX', 'INTC', 'ODFL', 'REGN', 'ORCL', 'SBUX', 'AAPL', 'ISRG']",10,0,10,1.0,0.001,False
2020-02-20,2020-02-20,2020-02-21,"['MDLZ', 'ISRG', 'FAST', 'GILD', 'AMZN', 'GOOGL', 'SBUX', 'ODFL', 'EBAY', 'MNST']",10,6,6,1.2,0.0012,False
2020-03-05,2020-03-05,2020-03-06,"['PANW', 'CDNS', 'AMD', 'GOOGL', 'AMZN', 'INTC', 'AVGO', 'META', 'SNPS', 'AAPL']",10,8,8,1.6,0.0016,False
2020-03-19,2020-03-19,2020-03-20,"['MU', 'AMAT', 'TSLA', 'LRCX', 'INTC', 'NVDA', 'AVGO', 'PANW', 'AAPL', 'AMD']",10,5,5,1.0,0.001,False
2020-04-02,2020-04-02,2020-04-03,"['AMAT', 'LRCX', 'TSLA', 'PAYX', 'MU', 'SBUX', 'INTC', 'AAPL', 'PEP', 'CRM']",10,4,4,0.8,0.0008,False
2020-04-17,2020-04-17,2020-04-20,"['PANW', 'MU', 'CRM', 'ODFL', 'GOOGL', 'LRCX', 'INTC', 'NVDA', 'META', 'ADBE']",10,6,6,1.2,0.0012,False
2020-05-01,2020-05-01,2020-05-04,"['ORCL', 'EBAY', 'COST', 'CRM', 'MSFT', 'MNST', 'MDLZ', 'NVDA', 'AMD', 'GOOGL']",10,7,7,1.4,0.0014,False
2020-05-15,2020-05-15,2020-05-18,"['GILD', 'REGN', 'AMZN', 'MNST', 'AVGO', 'MDLZ', 'CDNS', 'INTC', 'MU', 'CRM']",10,7,7,1.4,0.0014,False
2020-06-01,2020-06-01,2020-06-02,"['AMZN', 'CDNS', 'AMD', 'INTC', 'ORCL', 'AVGO', 'QCOM', 'NFLX', 'NVDA', 'MSFT']",10,6,6,1.2,0.0012,False
2020-06-15,2020-06-15,2020-06-16,"['AVGO', 'PAYX', 'MU', 'SBUX', 'AMAT', 'ISRG', 'CDNS', 'QCOM', 'MSFT', 'NVDA']",10,5,5,1.0,0.001,False
2020-06-29,2020-06-29,2020-06-30,"['TSLA', 'AAPL', 'QCOM', 'AVGO', 'MSFT', 'SBUX', 'ORCL', 'GOOGL', 'MU', 'AMD']",10,5,5,1.0,0.001,False
2020-07-27,2020-07-27,2020-07-28,"['GOOGL', 'PANW', 'AAPL', 'META', 'ORCL', 'SBUX', 'MNST', 'CRM', 'AVGO', 'PAYX']",10,5,5,1.0,0.001,False
2020-09-10,2020-09-10,2020-09-11,"['TSLA', 'GOOGL', 'PANW', 'SNPS', 'CDNS', 'LRCX', 'FAST', 'MSFT', 'NVDA', 'INTC']",10,8,8,1.6,0.0016,False
2020-09-24,2020-09-24,2020-09-25,"['FAST', 'ISRG', 'GOOGL', 'TSLA', 'MNST', 'PANW', 'AVGO', 'ODFL', 'PAYX', 'MDLZ']",10,6,6,1.2,0.0012,False
2020-10-08,2020-10-08,2020-10-09,"['AMAT', 'LRCX', 'MDLZ', 'FAST', 'AMD', 'PANW', 'MNST', 'AAPL', 'PEP', 'QCOM']",10,6,6,1.2,0.0012,False
2020-10-22,2020-10-22,2020-10-23,"['AAPL', 'TSLA', 'NVDA', 'MDLZ', 'AMZN', 'PEP', 'MNST', 'QCOM', 'CRM', 'AMD']",10,4,4,0.8,0.0008,False
2020-11-05,2020-11-05,2020-11-06,"['INTC', 'ORCL', 'GOOGL', 'MSFT', 'MDLZ', 'CRM', 'GILD', 'AVGO', 'TSLA', 'SBUX']",10,7,7,1.4,0.0014,False
2020-11-19,2020-11-19,2020-11-20,"['NFLX', 'INTC', 'NVDA', 'ORCL', 'AMZN', 'AVGO', 'CRM', 'COST', 'CDNS', 'SBUX']",10,5,5,1.0,0.001,False
2020-12-04,2020-12-04,2020-12-07,"['NVDA', 'NFLX', 'COST', 'EBAY', 'ORCL', 'REGN', 'PANW', 'AMZN', 'SBUX', 'AMAT']",10,4,4,0.8,0.0008,False
2020-12-18,2020-12-18,2020-12-21,"['CRM', 'NFLX', 'SBUX', 'NVDA', 'AMZN', 'QCOM', 'INTC', 'META', 'AAPL', 'EBAY']",10,5,5,1.0,0.001,False
