fold,test_year,model,global_auc,daily_auc,top_k_ret,train_size,test_size
1,2020,LR,0.5200186911936162,0.5138190322023118,0.011910235975105491,48285,6920
1,2020,RF,0.5497760037375455,0.5100924683958019,0.010118892055721997,48285,6920
1,2020,XGB,0.5604259637419264,0.5062480736717241,0.010015473118738724,48285,6920
2,2021,LR,0.5532543866697555,0.5172957541128922,0.0014756159905251354,55622,7918
2,2021,RF,0.4711724675135185,0.5138344569176395,0.0020102110544213737,55622,7918
2,2021,XGB,0.46887133436836825,0.5071208940348508,0.002021375328029097,55622,7918
3,2022,LR,0.5722348665010109,0.5072140651372248,-0.002653166341148398,63772,8408
3,2022,RF,0.5242517393293322,0.5250265851516337,-0.0008703861018297742,63772,8408
3,2022,XGB,0.5181619298864966,0.529615358494023,-5.834041501901843e-05,63772,8408
4,2023,LR,0.49996941448335797,0.49700688705340385,0.0023711453556945063,67592,8334
4,2023,RF,0.4993804842895673,0.48310056815020547,0.0005895647298003126,67592,8334
4,2023,XGB,0.49620707793952834,0.47733528336972486,0.00031542334724320175,67592,8334
5,2024,LR,0.5074098964865306,0.49767936812206914,0.0020811153940106194,67543,8395
5,2024,RF,0.5017979711437518,0.49592857229604875,0.0017329821912025914,67543,8395
5,2024,XGB,0.5010565082997886,0.49283098088793936,0.0018044389705016042,67543,8395
6,2025,LR,0.5126900749818591,0.5010559196538806,0.001414992470147726,67427,8349
6,2025,RF,0.5040979140991235,0.48952548808490726,0.000580804255361013,67427,8349
6,2025,XGB,0.4958990048490573,0.4778814129547689,0.0005851827442099477,67427,8349
7,2026,LR,0.6010940845824411,0.5945365813183205,0.0033198192346320494,67794,979
7,2026,RF,0.5819852449143469,0.5760363852324231,0.0027972646533399557,67794,979
7,2026,XGB,0.5549154342880085,0.5481057626794914,0.0015957431490142445,67794,979
