fold,test_year,model,global_auc,daily_auc,top_k_ret,train_size,test_size
1,2020,LR,0.48939067679242065,0.5116465958354323,0.012360126258562584,48285,6920
1,2020,RF,0.5690684313260661,0.5055885671229089,0.010845261899076558,48285,6920
1,2020,XGB,0.5350796065318322,0.5164105645178079,0.01018560718445025,48285,6920
2,2021,LR,0.5490244807653795,0.5116892331121223,0.0009205341097711096,55622,7918
2,2021,RF,0.5092568676141098,0.49302320161318414,0.0010869658921350044,55622,7918
2,2021,XGB,0.524594249090699,0.5099704155289698,0.0018240678516039492,55622,7918
3,2022,LR,0.5956158911530031,0.5213480042653489,-0.0016251179738229794,63772,8408
3,2022,RF,0.4820952660955363,0.5104075106575748,-0.002133106788918851,63772,8408
3,2022,XGB,0.4868175636789213,0.5019391454710116,-0.0014462509864206189,63772,8408
4,2023,LR,0.5129772786036445,0.5010256564241007,0.002331712291281322,67592,8334
4,2023,RF,0.5326644356006625,0.5114852675437147,0.002582583199081559,67592,8334
4,2023,XGB,0.5519505696422385,0.4880739301739715,0.001565245453980485,67592,8334
5,2024,LR,0.5166500326162695,0.49960239218218366,0.002271169655555922,67543,8395
5,2024,RF,0.5114501577678773,0.5168855511325338,0.004109867619489776,67543,8395
5,2024,XGB,0.496166063276133,0.5002348936568534,0.0009525310270920107,67543,8395
6,2025,LR,0.49663186325888903,0.4957488522662391,0.0006413312308186337,67427,8349
6,2025,RF,0.4926508851545134,0.4876873001268821,0.0009759574478798078,67427,8349
6,2025,XGB,0.5012847410188779,0.49353148343052344,0.002712942699291,67427,8349
7,2026,LR,0.5799819325481799,0.600964812205276,0.003986660507806803,67794,979
7,2026,RF,0.5388262011509636,0.5792685651172497,0.004578245501242281,67794,979
7,2026,XGB,0.5372850307815846,0.5761246536834522,0.0017534090651779419,67794,979
