fold,test_year,model,global_auc,daily_auc,top_k_ret,train_size,test_size,strategy,feature_set
1,2020,LR,0.4893906767924206,0.5116465958354323,0.0123601262585625,48285,6920,ML_Full,Full
1,2020,RF,0.5690684313260661,0.5055885671229089,0.0108452618990765,48285,6920,ML_Full,Full
1,2020,XGB,0.5350796065318322,0.5164105645178079,0.0101856071844502,48285,6920,ML_Full,Full
2,2021,LR,0.5489512696183196,0.5119060539173109,0.0009455413254881,55622,7918,ML_Full,Full
2,2021,RF,0.5092568676141098,0.4930232016131841,0.001086965892135,55622,7918,ML_Full,Full
2,2021,XGB,0.524594249090699,0.5099704155289698,0.0018240678516039,55622,7918,ML_Full,Full
3,2022,LR,0.5956157776382809,0.5213480042653489,-0.0016251179738229,63772,8408,ML_Full,Full
3,2022,RF,0.4820952660955363,0.5104075106575748,-0.0021331067889188,63772,8408,ML_Full,Full
3,2022,XGB,0.4868175636789213,0.5019391454710116,-0.0014462509864206,63772,8408,ML_Full,Full
4,2023,LR,0.512971959383359,0.5009598479484233,0.0023317122912813,67592,8334,ML_Full,Full
4,2023,RF,0.5326644356006625,0.5114852675437147,0.0025825831990815,67592,8334,ML_Full,Full
4,2023,XGB,0.5519505696422385,0.4880739301739715,0.0015652454539804,67592,8334,ML_Full,Full
5,2024,LR,0.5166499185933032,0.4996023921821836,0.0022711696555559,67543,8395,ML_Full,Full
5,2024,RF,0.5114501577678773,0.5168855511325338,0.0041098676194897,67543,8395,ML_Full,Full
5,2024,XGB,0.496166063276133,0.5002348936568534,0.000952531027092,67543,8395,ML_Full,Full
6,2025,LR,0.4966320360281499,0.4957488522662391,0.0006413312308186,67427,8349,ML_Full,Full
6,2025,RF,0.4926508851545134,0.4876873001268821,0.0009759574478798,67427,8349,ML_Full,Full
6,2025,XGB,0.5012847410188779,0.4935314834305234,0.002712942699291,67427,8349,ML_Full,Full
7,2026,LR,0.5799819325481799,0.600964812205276,0.0039866605078068,67794,979,ML_Full,Full
7,2026,RF,0.5388262011509636,0.5792685651172497,0.0045782455012422,67794,979,ML_Full,Full
7,2026,XGB,0.5372850307815846,0.5761246536834522,0.0017534090651779,67794,979,ML_Full,Full
1,2020,LR,0.5200186911936162,0.5138190322023118,0.0119102359751054,48285,6920,ML_Base,Base
1,2020,RF,0.5497760037375455,0.5100924683958019,0.0101188920557219,48285,6920,ML_Base,Base
1,2020,XGB,0.5604259637419264,0.5062480736717241,0.0100154731187387,48285,6920,ML_Base,Base
2,2021,LR,0.5532543866697555,0.5172957541128922,0.0014756159905251,55622,7918,ML_Base,Base
2,2021,RF,0.4711724675135185,0.5138344569176395,0.0020102110544213,55622,7918,ML_Base,Base
2,2021,XGB,0.4688713343683682,0.5071208940348508,0.002021375328029,55622,7918,ML_Base,Base
3,2022,LR,0.5722348665010109,0.5072140651372248,-0.0026531663411483,63772,8408,ML_Base,Base
3,2022,RF,0.5242517393293322,0.5250265851516337,-0.0008703861018297,63772,8408,ML_Base,Base
3,2022,XGB,0.5181619298864966,0.529615358494023,-5.834041501901843e-05,63772,8408,ML_Base,Base
4,2023,LR,0.4999694144833579,0.4970068870534038,0.0023711453556945,67592,8334,ML_Base,Base
4,2023,RF,0.4993804842895673,0.4831005681502054,0.0005895647298003,67592,8334,ML_Base,Base
4,2023,XGB,0.4962070779395283,0.4773352833697248,0.0003154233472432,67592,8334,ML_Base,Base
5,2024,LR,0.5074098964865306,0.4976793681220691,0.0020811153940106,67543,8395,ML_Base,Base
5,2024,RF,0.5017979711437518,0.4959285722960487,0.0017329821912025,67543,8395,ML_Base,Base
5,2024,XGB,0.5010565082997886,0.4928309808879393,0.0018044389705016,67543,8395,ML_Base,Base
6,2025,LR,0.5126900749818591,0.5010559196538806,0.0014149924701477,67427,8349,ML_Base,Base
6,2025,RF,0.5040979140991235,0.4895254880849072,0.000580804255361,67427,8349,ML_Base,Base
6,2025,XGB,0.4958990048490573,0.4778814129547689,0.0005851827442099,67427,8349,ML_Base,Base
7,2026,LR,0.6010940845824411,0.5945365813183205,0.003319819234632,67794,979,ML_Base,Base
7,2026,RF,0.5819852449143469,0.5760363852324231,0.0027972646533399,67794,979,ML_Base,Base
7,2026,XGB,0.5549154342880085,0.5481057626794914,0.0015957431490142,67794,979,ML_Base,Base
